[(1, [61])]
         330309 function calls (319485 primitive calls) in 2.894 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:1077(flush)
       24    0.000    0.000    0.012    0.001 __init__.py:108(import_module)
       24    0.000    0.000    0.002    0.000 __init__.py:1088(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:11(AsyncHTTP2Connection)
        1    0.000    0.000    0.000    0.000 __init__.py:11(HTTP2Connection)
        1    0.000    0.000    0.000    0.000 __init__.py:110(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:114(Double)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:118(Float)
       24    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
       81    0.000    0.000    0.000    0.000 __init__.py:12(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:122(String)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:126(Point)
        2    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:130(Point2f)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1312(BSON)
       17    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:134(Point3f)
       13    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:138(Size)
        1    0.000    0.000    0.000    0.000 __init__.py:1403(_clear_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:142(Rect)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       14    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1448(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:146(Scalar)
       89    0.000    0.000    0.004    0.000 __init__.py:1467(info)
        1    0.000    0.000    0.000    0.000 __init__.py:150(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:154(GMat)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
       24    0.000    0.000    0.000    0.000 __init__.py:1549(findCaller)
     2348    0.000    0.000    0.000    0.000 __init__.py:158(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:158(Prim)
       24    0.000    0.000    0.001    0.000 __init__.py:1585(makeRecord)
       24    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
       24    0.000    0.000    0.003    0.000 __init__.py:1600(_log)
        1    0.000    0.000    0.000    0.000 __init__.py:162(Any)
       24    0.000    0.000    0.002    0.000 __init__.py:1626(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
       24    0.000    0.000    0.002    0.000 __init__.py:1680(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
       89    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
